id,name,lat,lng
80,"Rochester, MN",44.0154,-92.478
81,"St. Cloud, MN",45.534,-94.1718
82,"Minneapolis, MN",44.9635,-93.2678
83,"Columbia, MO",38.9472,-92.3268
84,"Springfield, MO",37.1943,-93.2916
85,"Kansas City, MO",39.1238,-94.5541
86,"St. Louis, MO",38.6359,-90.2451
87,"Meridian, MS",32.3846,-88.6896
88,"Jackson, MS",32.3157,-90.2125
89,"Butte, MT",45.902,-112.6571
90,"Bozeman, MT",45.6833,-111.0558
91,"Great Falls, MT",47.5022,-111.2996
92,"Missoula, MT",46.8751,-114.0214
93,"Billings, MT",45.7891,-108.5526
94,"Winston-Salem, NC",36.1029,-80.261
95,"Raleigh, NC",35.8324,-78.6429
96,"Charlotte, NC",35.2083,-80.8303
97,"Williston, ND",48.1814,-103.6364
98,"Minot, ND",48.2375,-101.278
99,"Bismarck, ND",46.8143,-100.7694
100,"Fargo, ND",46.8651,-96.8292
101,"Grand Island, NE",40.9218,-98.3586
102,"Omaha, NE",41.2627,-96.0529
103,"Farmington, NM",36.7555,-108.1823
104,"Roswell, NM",33.373,-104.5294
105,"Albuquerque, NM",35.1054,-106.6465
106,"Reno, NV",39.5497,-119.8483
107,"Las Vegas, NV",36.2333,-115.2654
108,"Syracuse, NY",43.0407,-76.1437
109,"Albany, NY",42.6664,-73.7987
110,"Buffalo, NY",42.9018,-78.8487
111,"New York, NY",40.6943,-73.9249
112,"Toledo, OH",41.6638,-83.5827
113,"Columbus, OH",39.9862,-82.9855
114,"Cleveland, OH",41.4764,-81.6805
115,"Cincinnati, OH",39.1413,-84.506
116,"Tulsa, OK",36.1283,-95.9042
117,"Oklahoma City, OK",35.4676,-97.5136
118,"Bend, OR",44.0563,-121.3095
119,"Medford, OR",42.3372,-122.854
120,"Eugene, OR",44.0564,-123.1174
121,"Portland, OR",45.5371,-122.65
122,"Scranton, PA",41.4044,-75.6649
123,"Harrisburg, PA",40.2752,-76.8843
124,"Pittsburgh, PA",40.4397,-79.9763
125,"Philadelphia, PA",40.0077,-75.1339
126,"San Juan, PR",18.3985,-66.061
127,"Myrtle Beach, SC",33.7094,-78.8844
128,"Greenville, SC",34.8354,-82.3646
129,"Columbia, SC",34.0378,-80.9036
130,"Charleston, SC",32.8168,-79.9687
131,"Watertown, SD",44.9094,-97.1532
132,"Aberdeen, SD",45.4649,-98.4686
133,"Rapid City, SD",44.0716,-103.2204
134,"Sioux Falls, SD",43.5396,-96.7311
135,"Johnson City, TN",36.3406,-82.3806
136,"Chattanooga, TN",35.066,-85.2481
137,"Knoxville, TN",35.9692,-83.9496
138,"Memphis, TN",35.1087,-89.9663
139,"Nashville, TN",36.1715,-86.7842
140,"Amarillo, TX",35.1984,-101.8316
141,"Laredo, TX",27.5625,-99.4874
142,"Lubbock, TX",33.5657,-101.8879
143,"El Paso, TX",31.8476,-106.43
144,"Austin, TX",30.3005,-97.7522
145,"San Antonio, TX",29.4632,-98.5238
146,"Houston, TX",29.786,-95.3885
147,"Dallas, TX",32.7935,-96.7667
148,"St. George, UT",37.0758,-113.5752
149,"Salt Lake City, UT",40.7776,-111.9311
150,"Roanoke, VA",37.2785,-79.9581
151,"Richmond, VA",37.5295,-77.4756
152,"Virginia Beach, VA",36.7335,-76.0435
153,"Burlington, VT",44.4876,-73.2316
154,"Yakima, WA",46.5923,-120.5496
155,"Kennewick, WA",46.1978,-119.1732
156,"Seattle, WA",47.6211,-122.3244
157,"Wausau, WI",44.962,-89.6459
158,"La Crosse, WI",43.8241,-91.2268
159,"Eau Claire, WI",44.8197,-91.4948
160,"Green Bay, WI",44.5148,-87.9895
161,"Madison, WI",43.0822,-89.393
162,"Milwaukee, WI",43.0642,-87.9675
163,"Parkersburg, WV",39.2623,-81.542
164,"Huntington, WV",38.4109,-82.4345
165,"Sheridan, WY",44.7961,-106.9642
166,"Rock Springs, WY",41.5947,-109.2209
167,"Gillette, WY",44.2752,-105.4982
168,"Casper, WY",42.842,-106.3208
169,"Cheyenne, WY",41.135,-104.7902
